Comment,Designator,Footprint,LCSC
100pF 100V,C18,C_0805_2012Metric,C107105
47nF 100V,C25,C_0805_2012Metric,C107126
1k,R32,R_0402_1005Metric,C11702
LED,"D10,D11,D15,D17",LED_0402_1005Metric,C123072
2.2uF,C23,C_0402_1005Metric,C12530
1u 100V,C17,C_0805_2012Metric,C126585
ABS07-32.768KHZ-T,Y1,R_1206_3216Metric,C130253
0.47uF 50V,C19,C_0805_2012Metric,C13967
FCX495TA,Q1,SOT-89-3,C150457
100nF,C1,C_0402_1005Metric,C1525
100pF,"C20,C21,C28",C_0402_1005Metric,C1546
15pF,"C35,C36",C_0402_1005Metric,C1548
0,R1,R_0402_1005Metric,C17168
532610571,J1,CONN_532610001-SD_05_MOL,C17256390
PMEG10010ELR,"D18,D2,D9",Nexperia_CFP3_SOD-123W,C179426
20,"R10,R11,R12,R13,R14,R2,R3,R4,R5,R6,R7,R8,R9",R_1206_3216Metric,C17955
THVD2410DR,U4,SOIC-8_3.9x4.9mm_P1.27mm,C1849398
BQ7697202,U1,TQFP48_PFB_TEX,C22466635
~,"3v3IN1,3v3OUT1,ALRT1,BATT3,BUT1,SCL1,SDA1,VSS1",TestPoint_Keystone_5019_Minature,C238131
1,"R47,R49",R_0402_1005Metric,C25086
10k,"R17,R18,R23,R30,R35,R48,R50,R55",R_0402_1005Metric,C25744
220K,"R24,R26,R29",R_0402_1005Metric,C25764
1.5k,"R20,R21,R33,R34,R37,R38,R42",R_0402_1005Metric,C25867
5.1K,"R25,R27,R28,R51,R52,R53,R54",R_0402_1005Metric,C25905
7.5k,R31,R_0402_1005Metric,C25918
SF-1206HHA3000R-2,F1,R_2010_5025Metric,C2762483
Thermistor_US,"TH1,TH2,TH4",R_0402_1005Metric,C2889040
"BZX585-C16,115","D5,D6,D7",D_SOD-523,C455027
STM32L010K8Tx,U2,LQFP-32_7x7mm_P0.8mm,C456974
DMTH6002LPS-13,"MOSFET1,MOSFET2",POWERDI5060-8_K_DIO,C461122
220nF 50V,"C10,C11,C12,C14,C16,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C5159775
BAT54SW,"D1,D16",SOT-323_SC-70,C549280
1N4448W,D8,D_SOD-123,C5805633
532610471,J3,CONN_532610001-SD_04_MOL,C696092
SMAJ54CA,D21,D_SMA,C726801
ESD5Z12T1G,"D19,D22",D_SOD-523,C7436544
APCW3216-221P2T,L2,L_CommonMode_Wurth_WE-CNSW-1206,C7497124
2N7002,Q3,SOT-23,C8545
0.010,R40,R_2512_6332Metric,C875720
ESD9B3.3ST5G,"D12,D13,D20,D4",D_SOD-923,C96512
BLM18PG471SN1D,FB1,L_0603_1608Metric,C97853
10u 6.3V,C30,C_0402_1005Metric,
120R,R22,R_0402_1005Metric,
battery_pod,BT4,3S 18650 Group,
100nF 6.3V,C29,C_0402_1005Metric,
battery_pod,BT2,3S 18650 Group,
22nF 50V,C39,C_0402_1005Metric,
100nF 6.3V,C26,C_0402_1005Metric,
1uF 25V,C41,C_0402_1005Metric,
battery_pod,BT5,3S 18650 Group,
100nF 6.3V,C34,C_0402_1005Metric,
battery_pod,BT6,3S 18650 Group,
100nF 6.3V,C32,C_0402_1005Metric,
330R,R45,R_0402_1005Metric,
120R,R44,R_0402_1005Metric,
120R,R15,R_0402_1005Metric,
330R,R46,R_0402_1005Metric,
BEL Fuse 0ZCJ0005FF2E,F2,Fuse_1206_3216Metric,
330R,R39,R_1206_3216Metric,
100nF 100V,C13,C_0603_1608Metric,
1uF 6.3V,C27,C_0402_1005Metric,
battery_pod,BT3,3S 18650 Group,
120R,R16,R_0402_1005Metric,
1uF 100V,C40,C_0805_2012Metric,
120R,R43,R_0402_1005Metric,
120R,R19,R_1206_3216Metric,
battery_pod,BT1,3S 18650 Group,
10u 6.3V,C33,C_0402_1005Metric,
100nF 100V,C24,C_0603_1608Metric,
battery_pod,BT7,3S 18650 Group,
120R,R41,R_0402_1005Metric,
1uF 25V,C42,C_0402_1005Metric,
100nF 6.3V,C31,C_0402_1005Metric,
22nF,,C_0402_1005Metric,
10u 6.3V,C37,C_0402_1005Metric,
10u 6.3V,C22,C_0402_1005Metric,
